"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Pierre Escaffre",286,"le 26 mars 1933 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",2,3,"https://fr.wikipedia.org//w/index.php?title=Pierre_Escaffre&action=edit&redlink=1"
"Firmin Raynaud",287,"le 26 mars 1933 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",1,6,"https://fr.wikipedia.org//w/index.php?title=Firmin_Raynaud&action=edit&redlink=1"
"Antoine Blain",288,"le 25 mars 1934 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/Antoine_Blain"
"Pierre Cussac",289,"le 25 mars 1934 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/Pierre_Cussac"
"Joseph Desclaux",290,"le 25 mars 1934 contre l'Allemagne","le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique",10,23,"https://fr.wikipedia.org//wiki/Joseph_Desclaux"
"André Duluc",291,"le 25 mars 1934 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",1,3,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Duluc&action=edit&redlink=1"
"Louis Dupont",292,"le 25 mars 1934 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",6,0,"https://fr.wikipedia.org//w/index.php?title=Louis_Dupont_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"François Lombard",293,"le 25 mars 1934 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",2,0,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Lombard_(rugby_%C3%A0_XV)"
"Jean Blond",294,"le 24 mars 1935 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",6,6,"https://fr.wikipedia.org//wiki/Jean_Blond"
"Paul Boyer",295,"le 24 mars 1935 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/Paul_Boyer_(rugby_%C3%A0_XV)"
"Maurice Celhay",296,"le 24 mars 1935 contre l'Allemagne","le 24 février 1940 contre l'équipe de l'Armée de terre britannique",6,24,"https://fr.wikipedia.org//wiki/Maurice_Celhay"
"Jacques Dorot",297,"le 24 mars 1935 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",1,0,"https://fr.wikipedia.org//w/index.php?title=Jacques_Dorot&action=edit&redlink=1"
"François Raynal",298,"le 24 mars 1935 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",5,5,"https://fr.wikipedia.org//w/index.php?title=Fran%C3%A7ois_Raynal&action=edit&redlink=1"
"Armand Vigneau",299,"le 24 mars 1935 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",1,3,"https://fr.wikipedia.org//w/index.php?title=Armand_Vigneau&action=edit&redlink=1"
"Francis Daguerre",300,"le 17 mai 1936 contre l'Allemagne","le 17 mai 1936 contre l'Allemagne",1,3,"https://fr.wikipedia.org//wiki/Francis_Daguerre"
"Pierre Geschwind",301,"le 17 mai 1936 contre l'Allemagne","le 1er novembre 1936 contre l'Allemagne",2,6,"https://fr.wikipedia.org//w/index.php?title=Pierre_Geschwind&action=edit&redlink=1"
"André Goyard",302,"le 17 mai 1936 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",7,3,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Goyard&action=edit&redlink=1"
"Etienne Ithurra",303,"le 17 mai 1936 contre l'Allemagne","le 18 avril 1937 contre l'Allemagne",3,0,"https://fr.wikipedia.org//w/index.php?title=Etienne_Ithurra&action=edit&redlink=1"
"Georges Libaros",304,"le 17 mai 1936 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",2,0,"https://fr.wikipedia.org//wiki/Georges_Libaros"
"André Rochon",305,"le 17 mai 1936 contre l'Allemagne","le 17 mai 1936 contre l'Allemagne",1,0,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Rochon&action=edit&redlink=1"
"Pierre Thiers",306,"le 17 mai 1936 contre l'Allemagne","le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique",9,17,"https://fr.wikipedia.org//wiki/Pierre_Thiers"
"Félix Bergèze",307,"le 1er novembre 1936 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",6,12,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Berg%C3%A8ze"
"Jean Clavé",308,"le 1er novembre 1936 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",3,0,"https://fr.wikipedia.org//wiki/Jean_Clav%C3%A9"
"Edmond Elissalde",309,"le 1er novembre 1936 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",2,0,"https://fr.wikipedia.org//wiki/Edmond_Elissalde"
"Pierre Milliand",310,"le 1er novembre 1936 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",3,9,"https://fr.wikipedia.org//w/index.php?title=Pierre_Milliand&action=edit&redlink=1"
"Frantz Sahuc",311,"le 1er novembre 1936 contre l'Allemagne","le 1er novembre 1936 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/Frantz_Sahuc"
"David Aguilar",312,"le 18 avril 1937 contre l'Allemagne","le 18 avril 1937 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/David_Aguilar"
"Pierre Daulouède",313,"le 18 avril 1937 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",4,0,"https://fr.wikipedia.org//wiki/Pierre_Daulou%C3%A8de"
"Gilbert Lavail",314,"le 18 avril 1937 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",2,0,"https://fr.wikipedia.org//w/index.php?title=Gilbert_Lavail&action=edit&redlink=1"
"Henri Masse",315,"le 18 avril 1937 contre l'Allemagne","le 18 avril 1937 contre l'Allemagne",1,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Masse_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Michel Bonnus",316,"le 17 octobre 1937 contre l'Italie","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",5,4,"https://fr.wikipedia.org//wiki/Michel_Bonnus_(rugby_%C3%A0_XV)"
"Antonin Delque",317,"le 17 octobre 1937 contre l'Italie","le 22 mai 1938 contre l'Allemagne",4,6,"https://fr.wikipedia.org//w/index.php?title=Antonin_Delque&action=edit&redlink=1"
"Marcel Deygas",318,"le 17 octobre 1937 contre l'Italie","le 17 octobre 1937 contre l'Italie",1,0,"https://fr.wikipedia.org//w/index.php?title=Marcel_Deygas&action=edit&redlink=1"
"Emile Fabre",319,"le 17 octobre 1937 contre l'Italie","le 22 mai 1938 contre l'Allemagne",3,0,"https://fr.wikipedia.org//w/index.php?title=Emile_Fabre(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Robert Cals",320,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/Robert_Cals"
"Jean Chassagne",321,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",1,0,"https://fr.wikipedia.org//w/index.php?title=Jean_Chassagne(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Henri Clarac",322,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",1,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Clarac&action=edit&redlink=1"
"Jean-Baptiste Lefort",323,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",1,0,"https://fr.wikipedia.org//w/index.php?title=Jean-Baptiste_Lefort&action=edit&redlink=1"
"René Arotca",324,"le 15 mai 1938 contre la Roumanie","le 15 mai 1938 contre la Roumanie",1,0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Arotca"
"Robert Caunegre",325,"le 15 mai 1938 contre la Roumanie","le 22 mai 1938 contre l'Allemagne",2,6,"https://fr.wikipedia.org//wiki/Robert_Caunegre"
"Emile Doussau",326,"le 15 mai 1938 contre la Roumanie","le 15 mai 1938 contre la Roumanie",1,0,"https://fr.wikipedia.org//w/index.php?title=Emile_Doussau&action=edit&redlink=1"
"Raymond Le Goff",327,"le 15 mai 1938 contre la Roumanie","le 22 mai 1938 contre l'Allemagne",2,3,"https://fr.wikipedia.org//wiki/Raymond_Le_Goff"
"René Lombarteix",328,"le 15 mai 1938 contre la Roumanie","le 22 mai 1938 contre l'Allemagne",2,0,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Lombarteix&action=edit&redlink=1"
"André Rapin",329,"le 15 mai 1938 contre la Roumanie","le 15 mai 1938 contre la Roumanie",1,0,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Rapin&action=edit&redlink=1"
"Guy Vassal",330,"le 15 mai 1938 contre la Roumanie","le 22 mai 1938 contre l'Allemagne",2,0,"https://fr.wikipedia.org//wiki/Guy_Vassal_(rugby)"
"Jacques Palat",331,"le 22 mai 1938 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",1,0,"https://fr.wikipedia.org//wiki/Jacques_Palat"
"Pierre Charton",332,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Pierre_Charton&action=edit&redlink=1"
"Joseph Dutrey",333,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Joseph_Dutrey&action=edit&redlink=1"
"Lucien Ferrand",334,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Lucien_Ferrand&action=edit&redlink=1"
"François Méret",335,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_M%C3%A9ret"
"Roger Paul",336,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//wiki/Roger_Paul"
"Henri Peyrelade",337,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Peyrelade&action=edit&redlink=1"
"Robert Tourte",338,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Robert_Tourte&action=edit&redlink=1"
"Marcel Tucoo-Chala",339,"le 25 février 1940 contre l'équipe de l'Armée de terre britannique","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Marcel_Tucoo-Chala&action=edit&redlink=1"
"Georges Baladié",340,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 10 mars 1946 contre les Kiwis (équipe de l'Armée néo-zélandaise)",6,9,"https://fr.wikipedia.org//wiki/Georges_Baladi%C3%A9"
"Yves Bergougnan",341,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 4 septembre 1949 contre l'Argentine",17,12,"https://fr.wikipedia.org//wiki/Yves_Bergougnan"
"Jean Dauger",342,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 10 janvier 1953 contre l'Écosse",3,6,"https://fr.wikipedia.org//wiki/Jean_Dauger"
"Robert Geneste",343,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 4 septembre 1949 contre l'Argentine",2,0,"https://fr.wikipedia.org//w/index.php?title=Robert_Geneste&action=edit&redlink=1"
"Auguste Jarasse",344,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//wiki/Auguste_Jarasse"
"Louis Junquas",345,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 21 février 1948 contre le pays de Galles",13,0,"https://fr.wikipedia.org//wiki/Louis_Junquas"
"Jean Massare",346,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 22 avril 1946 contre le pays de Galles",6,3,"https://fr.wikipedia.org//wiki/Jean_Massare"
"Roger Minjat",347,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique",1,0,"https://fr.wikipedia.org//wiki/Roger_Minjat"
"Alban Moga",348,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 4 septembre 1949 contre l'Argentine",22,0,"https://fr.wikipedia.org//wiki/Alban_Moga"
"Jean Prat",349,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 10 avril 1955 contre l'Italie",51,144,"https://fr.wikipedia.org//wiki/Jean_Prat_(rugby_%C3%A0_XV)"
"Jean Prin-Clary",350,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 22 mars 1947 contre le pays de Galles",10,3,"https://fr.wikipedia.org//wiki/Jean_Prin-Clary"
"André Sahuc",351,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique",2,3,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Sahuc"
"Robert Soro",352,"le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique","le 4 septembre 1949 contre l'Argentine",21,6,"https://fr.wikipedia.org//wiki/Robert_Soro"
"André Alvarez",353,"le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique","le 7 avril 1951 contre le pays de Galles",20,25,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Alvarez"
"Jacques Chaban-Delmas",354,"le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique","le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique",1,0,"https://fr.wikipedia.org//wiki/Jacques_Chaban-Delmas"
"Gaston Combes",355,"le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique","le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique",1,0,"https://fr.wikipedia.org//wiki/Gaston_Combes"
"Lucien Rouffia",356,"le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique","le 1er janvier 1948 contre l'Irlande",4,0,"https://fr.wikipedia.org//wiki/Lucien_Rouffia"
"Jean Villagra",357,"le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique","le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique",1,0,"https://fr.wikipedia.org//w/index.php?title=Jean_Villagra&action=edit&redlink=1"
"Guy Basquet",358,"le 22 décembre 1945 contre le pays de Galles","le 17 mars 1952 contre l'Italie",33,24,"https://fr.wikipedia.org//wiki/Guy_Basquet"
"Henri Dutrain",359,"le 22 décembre 1945 contre le pays de Galles","le 28 août 1949 contre l'Argentine",8,0,"https://fr.wikipedia.org//w/index.php?title=Henri_Dutrain&action=edit&redlink=1"
"Jean Matheu-Cambas",360,"le 22 décembre 1945 contre le pays de Galles","le 27 janvier 1951 contre l'Irlande",24,3,"https://fr.wikipedia.org//wiki/Jean_Matheu-Cambas"
"Elie Pebeyre",361,"le 22 décembre 1945 contre le pays de Galles","le 19 avril 1947 contre l'Angleterre",8,3,"https://fr.wikipedia.org//wiki/Elie_Pebeyre"
"Maurice Terreau",362,"le 22 décembre 1945 contre le pays de Galles","le 13 janvier 1951 contre l'Écosse",17,15,"https://fr.wikipedia.org//wiki/Maurice_Terreau"
"Marcel Volot",363,"le 22 décembre 1945 contre le pays de Galles","le 22 avril 1946 contre le pays de Galles",5,0,"https://fr.wikipedia.org//wiki/Marcel_Volot"
"Albert Kaempf",364,"le 1er janvier 1946 contre l'équipe des forces interarmées de l'Empire britannique","le 1er janvier 1946 contre l'équipe des forces interarmées de l'Empire britannique",1,0,"https://fr.wikipedia.org//wiki/Albert_Kaempf"
"Eugène Buzy",365,"le 10 mars 1946 contre les Kiwis","le 4 septembre 1949 contre l'Argentine",17,0,"https://fr.wikipedia.org//wiki/Eug%C3%A8ne_Buzy"
"Michel Sorondo",366,"le 10 mars 1946 contre les Kiwis","le 1er janvier 1948 contre l'Irlande",6,3,"https://fr.wikipedia.org//wiki/Michel_Sorondo"
"Jean Lassègue",367,"le 22 avril 1946 contre le pays de Galles","le 28 août 1949 contre l'Argentine",9,15,"https://fr.wikipedia.org//wiki/Jean_Lass%C3%A8gue"
"Marcel Jol",368,"le 1er janvier 1947 contre l'Écosse","le 4 septembre 1949 contre l'Argentine",10,0,"https://fr.wikipedia.org//wiki/Marcel_Jol"
"Lucien Caron",369,"le 19 avril 1947 contre l'Angleterre","le 28 août 1949 contre l'Argentine",10,3,"https://fr.wikipedia.org//w/index.php?title=Lucien_Caron_(rugby_%C3%A0_XV)&action=edit&redlink=1"
"Gérard Dufau",370,"le 1er janvier 1948 contre l'Irlande","le 19 mai 1957 contre la Roumanie",38,6,"https://fr.wikipedia.org//wiki/G%C3%A9rard_Dufau"
"Pierre Jeanjean",371,"le 1er janvier 1948 contre l'Irlande","le 1er janvier 1948 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Pierre_Jeanjean"
"Lucien Martin",372,"le 1er janvier 1948 contre l'Irlande","le 14 janvier 1950 contre l'Écosse",6,0,"https://fr.wikipedia.org//wiki/Lucien_Martin_(rugby_%C3%A0_XV)"
"Michel Pomathios",373,"le 1er janvier 1948 contre l'Irlande","le 9 janvier 1954 contre l'Écosse",24,18,"https://fr.wikipedia.org//wiki/Michel_Pomathios"
"Léon Bordenave",374,"le 11 janvier 1948 contre l'Australie","le 15 janvier 1949 contre l'Écosse",5,0,"https://fr.wikipedia.org//wiki/L%C3%A9on_Bordenave"
"Pierre Dizabo",375,"le 11 janvier 1948 contre l'Australie","le 17 août 1960 contre l'Argentine",13,6,"https://fr.wikipedia.org//wiki/Pierre_Dizabo"
"Roger Lacaussade",376,"le 11 janvier 1948 contre l'Australie","le 24 janvier 1948 contre l'Écosse",2,3,"https://fr.wikipedia.org//w/index.php?title=Roger_Lacaussade&action=edit&redlink=1"
"Pierre Aristouy",377,"le 24 janvier 1948 contre l'Écosse","le 25 mars 1950 contre le pays de Galles",6,0,"https://fr.wikipedia.org//wiki/Pierre_Aristouy_(rugby_%C3%A0_XV)"
"Maurice Siman",378,"le 29 mars 1948 contre l'Angleterre","le 25 mars 1950 contre le pays de Galles",6,0,"https://fr.wikipedia.org//wiki/Maurice_Siman"
"Noël Baudry",379,"le 15 janvier 1949 contre l'Écosse","le 4 septembre 1949 contre l'Argentine",5,0,"https://fr.wikipedia.org//wiki/No%C3%ABl_Baudry"
"Jean Pilon",380,"le 26 février 1949 contre l'Angleterre","le 25 février 1950 contre l'Angleterre",2,3,"https://fr.wikipedia.org//wiki/Jean_Pilon"
"Francis Desclaux",381,"le 28 août 1949 contre l'Argentine","le 26 avril 1953 contre l'Italie",3,5,"https://fr.wikipedia.org//w/index.php?title=Francis_Desclaux&action=edit&redlink=1"
"Félix Lacrampe",382,"le 4 septembre 1949 contre l'Argentine","le 4 septembre 1949 contre l'Argentine",1,0,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Lacrampe"
"Roger Arcalis",383,"le 14 janvier 1950 contre l'Écosse","le 7 avril 1951 contre le pays de Galles",5,0,"https://fr.wikipedia.org//wiki/Roger_Arcalis"
"René Biénès",384,"le 14 janvier 1950 contre l'Écosse","le 14 avril 1956 contre l'Angleterre",29,12,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Bi%C3%A9n%C3%A8s"
"Firmin Bonnus",385,"le 14 janvier 1950 contre l'Écosse","le 25 mars 1950 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Firmin_Bonnus"
"Roger Ferrien",386,"le 14 janvier 1950 contre l'Écosse","le 25 mars 1950 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Roger_Ferrien"
"Pierre Lauga",387,"le 14 janvier 1950 contre l'Écosse","le 25 mars 1950 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Pierre_Lauga"
"Pierre Lavergne",388,"le 14 janvier 1950 contre l'Écosse","le 14 janvier 1950 contre l'Écosse",1,0,"https://fr.wikipedia.org//wiki/Pierre_Lavergne"
"Jacques Merquey",389,"le 14 janvier 1950 contre l'Écosse","le 25 mars 1950 contre le pays de Galles",4,3,"https://fr.wikipedia.org//wiki/Jacques_Merquey"
"Daniel Herice",390,"le 28 janvier 1950 contre l'Irlande","le 28 janvier 1950 contre l'Irlande",1,0,"https://fr.wikipedia.org//wiki/Daniel_Herice"
"Paul Lasaosa",391,"le 28 janvier 1950 contre l'Irlande","le 10 avril 1955 contre l'Italie",6,0,"https://fr.wikipedia.org//wiki/Paul_Lasaosa"
"Pierre Pascalin",392,"le 28 janvier 1950 contre l'Irlande","le 7 avril 1951 contre le pays de Galles",7,0,"https://fr.wikipedia.org//wiki/Pierre_Pascalin"
"Georges Brun",393,"le 25 février 1950 contre l'Angleterre","le 26 avril 1953 contre l'Italie",14,0,"https://fr.wikipedia.org//wiki/Georges_Brun_(rugby_%C3%A0_XV)"
"Fernand Cazenave",394,"le 25 février 1950 contre l'Angleterre","le 10 avril 1954 contre l'Angleterre",6,3,"https://fr.wikipedia.org//wiki/Fernand_Cazenave"
"Franck Fournet",395,"le 25 mars 1950 contre le pays de Galles","le 25 mars 1950 contre le pays de Galles",1,0,"https://fr.wikipedia.org//wiki/Franck_Fournet"
"René Bernard",396,"le 13 janvier 1951 contre l'Écosse","le 7 avril 1951 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Bernard"
"Georges Carabignac",397,"le 13 janvier 1951 contre l'Écosse","le 24 janvier 1953 contre l'Irlande",7,9,"https://fr.wikipedia.org//wiki/Georges_Carabignac"
"Henri Fourès",398,"le 13 janvier 1951 contre l'Écosse","le 7 avril 1951 contre le pays de Galles",4,0,"https://fr.wikipedia.org//wiki/Henri_Four%C3%A8s"
"Lucien Mias",399,"le 13 janvier 1951 contre l'Écosse","le 18 avril 1959 contre l'Irlande",29,3,"https://fr.wikipedia.org//wiki/Lucien_Mias"
"Alain Porthault",400,"le 13 janvier 1951 contre l'Écosse","le 26 avril 1953 contre l'Italie",7,9,"https://fr.wikipedia.org//wiki/Alain_Porthault"
"Guy Belletante",401,"le 27 janvier 1951 contre l'Irlande","le 7 avril 1951 contre le pays de Galles",3,0,"https://fr.wikipedia.org//wiki/Guy_Belletante"
"Pierre Bertrand",402,"le 27 janvier 1951 contre l'Irlande","le 26 avril 1953 contre l'Italie",8,13,"https://fr.wikipedia.org//wiki/Pierre_Bertrand_(rugby_%C3%A0_XV)"
"Dacien Olive",403,"le 27 janvier 1951 contre l'Irlande","le 26 janvier 1952 contre l'Irlande",2,3,"https://fr.wikipedia.org//wiki/Dacien_Olive"
"Maurice Prat",404,"le 27 janvier 1951 contre l'Irlande","le 19 avril 1958 contre l'Irlande",31,24,"https://fr.wikipedia.org//wiki/Maurice_Prat"
"Jean-Roger Bourdeu",405,"le 12 janvier 1952 contre l'Écosse","le 28 février 1953 contre l'Angleterre",9,3,"https://fr.wikipedia.org//wiki/Jean-Roger_Bourdeu"
"René Brejassou",406,"le 12 janvier 1952 contre l'Écosse","le 10 avril 1955 contre l'Italie",15,3,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Brejassou"
"Bernard Chevallier",407,"le 12 janvier 1952 contre l'Écosse","le 12 janvier 1957 contre l'Écosse",26,0,"https://fr.wikipedia.org//wiki/Bernard_Chevallier_(rugby_%C3%A0_XV)"
"Roger Furcade",408,"le 12 janvier 1952 contre l'Écosse","le 12 janvier 1952 contre l'Écosse",1,0,"https://fr.wikipedia.org//wiki/Roger_Furcade"
"Paul Labadie",409,"le 12 janvier 1952 contre l'Écosse","le 26 janvier 1957 contre l'Irlande",21,0,"https://fr.wikipedia.org//wiki/Paul_Labadie"
"Robert Labarthète",410,"le 12 janvier 1952 contre l'Écosse","le 12 janvier 1952 contre l'Écosse",1,0,"https://fr.wikipedia.org//wiki/Robert_Labarth%C3%A8te"
"Roger Martine",411,"le 12 janvier 1952 contre l'Écosse","le 2 avril 1961 contre l'Italie",25,6,"https://fr.wikipedia.org//wiki/Roger_Martine"
"François Varenne",412,"le 12 janvier 1952 contre l'Écosse","le 12 janvier 1952 contre l'Écosse",1,0,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Varenne"
"Antoine Labazuy",413,"le 26 janvier 1952 contre l'Irlande","le 4 avril 1959 contre le pays de Galles",11,39,"https://fr.wikipedia.org//wiki/Antoine_Labazuy"
"Jean Colombier",414,"le 16 février 1952 contre l'Afrique du Sud","le 5 avril 1952 contre l'Angleterre",3,0,"https://fr.wikipedia.org//wiki/Jean_Colombier_(rugby_%C3%A0_XV)"
"Pierre Guilleux",415,"le 16 février 1952 contre l'Afrique du Sud","le 17 mai 1952 contre l'Italie",2,0,"https://fr.wikipedia.org//wiki/Pierre_Guilleux"
"Jacques Mauran",416,"le 16 février 1952 contre l'Afrique du Sud","le 28 février 1953 contre l'Angleterre",6,0,"https://fr.wikipedia.org//wiki/Jacques_Mauran"
"Michel Lecointre",417,"le 17 mai 1952 contre l'Italie","le 17 mai 1952 contre l'Italie",1,0,"https://fr.wikipedia.org//wiki/Michel_Lecointre"
"Lucien Roge",418,"le 17 mai 1952 contre l'Italie","le 27 février 1960 contre l'Angleterre",15,12,"https://fr.wikipedia.org//wiki/Lucien_Roge"
"André Sanac",419,"le 17 mai 1952 contre l'Italie","le 21 avril 1957 contre l'Italie",10,0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Sanac"
"Jean-Claude Rouan",420,"le 10 janvier 1953 contre l'Écosse","le 24 janvier 1953 contre l'Irlande",2,0,"https://fr.wikipedia.org//wiki/Jean-Claude_Rouan"
"Paul Tignol",421,"le 10 janvier 1953 contre l'Écosse","le 24 janvier 1953 contre l'Irlande",2,0,"https://fr.wikipedia.org//wiki/Paul_Tignol"
"Julien Arrieta",422,"le 28 février 1953 contre l'Angleterre","le 28 mars 1953 contre le pays de Galles",2,0,"https://fr.wikipedia.org//wiki/Julien_Arrieta"
"Robert Carrère",423,"le 28 février 1953 contre l'Angleterre","le 26 avril 1953 contre l'Italie",2,0,"https://fr.wikipedia.org//wiki/Robert_Carr%C3%A8re"
"Michel Celaya",424,"le 28 février 1953 contre l'Angleterre","le 12 novembre 1961 contre la Roumanie",50,18,"https://fr.wikipedia.org//wiki/Michel_Celaya"
"André Haget",425,"le 28 février 1953 contre l'Angleterre","le 16 août 1958 contre l'Afrique du Sud",14,3,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Haget"
"Laurent Bidart",426,"le 28 mars 1953 contre le pays de Galles","le 28 mars 1953 contre le pays de Galles",1,0,"https://fr.wikipedia.org//wiki/Laurent_Bidart"
"Henri Domec",427,"le 28 mars 1953 contre le pays de Galles","le 19 avril 1958 contre l'Irlande",20,3,"https://fr.wikipedia.org//wiki/Henri_Domec"
"Joseph Galy",428,"le 28 mars 1953 contre le pays de Galles","le 28 mars 1953 contre le pays de Galles",1,0,"https://fr.wikipedia.org//wiki/Joseph_Galy"
"Michel Vannier",429,"le 28 mars 1953 contre le pays de Galles","le 26 août 1961 contre l'Australie",43,180,"https://fr.wikipedia.org//wiki/Michel_Vannier"
"Jean Darrieussecq",430,"le 26 avril 1953 contre l'Italie","le 26 avril 1953 contre l'Italie",1,0,"https://fr.wikipedia.org//wiki/Jean_Darrieussecq"
"Jean-Henri Pargade",431,"le 26 avril 1953 contre l'Italie","le 26 avril 1953 contre l'Italie",1,0,"https://fr.wikipedia.org//wiki/Jean-Henri_Pargade"
