"nom","no","premiere_selection","derniere_selection","matchs","points","url"
"Virimi Vakatawa",1059,"le 6 février 2016 contre l'Italie","le 9 juillet 2022 contre le Japon",32,50,"https://fr.wikipedia.org//wiki/Virimi_Vakatawa"
"Yacouba Camara",1060,"le 6 février 2016 contre l'Italie","le 6 octobre 2019 contre les Tonga",17,0,"https://fr.wikipedia.org//wiki/Yacouba_Camara"
"Jefferson Poirot",1061,"le 6 février 2016 contre l'Italie","le 8 mars 2020 contre l'Écosse",36,5,"https://fr.wikipedia.org//wiki/Jefferson_Poirot"
"Camille Chat",1062,"le 13 février 2016 contre l'Irlande","le 26 mars 2021 contre l'Ecosse",33,10,"https://fr.wikipedia.org//wiki/Camille_Chat"
"Djibril Camara",1063,"le 26 février 2016 contre le pays de Galles","le 25 février 2017 contre l'Irlande",4,0,"https://fr.wikipedia.org//wiki/Djibril_Camara"
"Vincent Pelo",1064,"le 26 février 2016 contre le pays de Galles","le 13 mars 2016 contre l'Écosse",2,0,"https://fr.wikipedia.org//wiki/Vincent_Pelo"
"Rémi Bonfils",1065,"le 20 juin 2016 contre l'Argentine","le 19 juin 2016 contre l'Argentine",2,5,"https://fr.wikipedia.org//wiki/R%C3%A9mi_Bonfils"
"William Demotte",1066,"le 20 juin 2016 contre l'Argentine","le 19 juin 2016 contre l'Argentine",1,0,"https://fr.wikipedia.org//wiki/William_Demotte"
"Kevin Gourdon",1067,"le 20 juin 2016 contre l'Argentine","le 23 juin 2018 contre la Nouvelle-Zélande",19,0,"https://fr.wikipedia.org//wiki/Kevin_Gourdon"
"Julien Le Devedec",1068,"le 20 juin 2016 contre l'Argentine","le 17 juin 2017 contre l'Afrique du Sud",11,0,"https://fr.wikipedia.org//wiki/Julien_Le_Devedec"
"Xavier Mignot",1069,"le 20 juin 2016 contre l'Argentine","le 19 juin 2016 contre l'Argentine",1,0,"https://fr.wikipedia.org//wiki/Xavier_Mignot"
"Julien Rey",1070,"le 20 juin 2016 contre l'Argentine","le 25 juin 2016 contre l'Argentine",2,0,"https://fr.wikipedia.org//wiki/Julien_Rey_(rugby_%C3%A0_XV)"
"Baptiste Serin",1071,"le 20 juin 2016 contre l'Argentine","le 19 août 2023 contre les Fidji",44,98,"https://fr.wikipedia.org//wiki/Baptiste_Serin"
"Clément Maynadier",1072,"le 20 juin 2016 contre l'Argentine","le 18 novembre 2017 contre l'Afrique du Sud",8,0,"https://fr.wikipedia.org//wiki/Cl%C3%A9ment_Maynadier"
